;O3;PM10;C2H3NO5;CH4;H2CO;CO;PM2.5;NOx;Pb;location;NH3;SO2;PAHs;TEMP;index;CFCs;PRES;warning
5521;0.46071860746532634;32;0.09051919358024464;0.6122073787858948;0.9844486284291285;0.02720817653777008;0.17684569127588357;0.007521176005866503;0.6677043587590508;0.28882276888700553;0.21970673016305498;0.18362932024222867;0.7971427819034076;0.3072084506856886;0.6956857089393862;0.29664996987883263;0.19496652879438203;1.0
7728;0.6665270408638183;82;0.39908545127995476;0.03222588377059932;0.4814101371127766;0.6827029360702768;0.6608904785397137;0.10912222433382518;0.6369987231110865;0.5750087324626758;0.4236941912688603;0.7412513501360566;0.47022436403855283;0.6454086165144376;0.6761763931802582;0.4047485361160804;0.44760070505588034;0.0
7150;0.6126314809643489;7;0.08507048593726316;0.10222885079739186;0.716200963390671;1.0;0.3531363751516686;0.029180252510126573;0.148654291748765;0.4325693920077125;0.4952087859214249;0.5901025562576004;0.47875651761731697;0.4729779750467217;0.8626771758957108;0.07935082291655504;0.5437636373897115;1.0
9069;0.7920040956902169;4;0.5355377126942057;1.0;0.06616442737550554;0.7689019666679933;0.5217919572260962;0.059907724055723754;0.44724428678894834;0.6659390902849225;0.40029608137817707;0.4847494502879518;0.0;0.3370806572609303;0.6687432586825126;0.8065038602416364;0.2629816004142347;0.0
167;0.0;7;0.0;0.0;0.5429372700386146;0.6900025413894357;0.6373801650688676;0.12536056173503451;0.7498172104122978;0.4538567395642461;0.7113308010138941;0.915083974985977;0.35751215744105624;0.708546925587639;0.11983533309905092;0.2785312718887206;0.531344421609905;1.0
673;0.0073070836823978455;3;0.9323511083142323;0.5133329217497629;0.4241335888840281;0.5481715774679796;0.16975726343017905;0.0;0.42767939384711373;0.9166093521374936;0.4375634951805256;0.7620391960528897;0.09320499991222042;0.11979399726250939;0.9999999999999998;0.4441209899201556;0.7702515108487402;0.0
5159;0.42692916317602164;67;0.8589936748689728;0.8553610134750951;0.6820528809473745;0.3366606142813837;0.22426299017320217;0.017204478676734702;0.6750129271811509;0.4290980522653798;0.7190712348897776;0.26418627937270245;0.6289592879338493;0.9295104432628779;0.3469886373144566;0.0;0.09398939450298638;0.0
11540;1.0000000000000002;25;0.46758458389028473;0.687914021104767;1.0;0.6566368538211167;0.0;0.0034118418473496823;0.5082244007893493;0.8872316469918167;0.8075391333206765;0.20628997291229167;0.820469268446832;0.7081438696006949;0.6343433329225785;0.72362230428195;0.3785492227125533;0.0
3544;0.2762263799683515;1;0.5435608757496834;0.4171956310835654;0.35033325518573744;0.12322370657056325;0.7632235096467953;0.24331735701158866;0.34765298169390557;0.8388476788537396;0.38737023795203873;0.5599274982732164;0.4689392742402698;0.9338601576689217;0.3436721753404315;0.5001722499699269;0.21511145328592818;0.0
7261;0.6229637903751281;3;0.6212673535351679;0.48242553570998403;0.5764086104148991;0.35946575707378914;0.41575221002946694;0.030215048520987945;0.2243992818065188;0.004004028885333355;0.4510922257986445;0.5507411648178108;0.41676322396025345;0.4880489787054828;0.39252457300552046;0.4909883945303378;0.7106237042291403;1.0
